Game Title,Designer,Publisher,Free or Paid,Price,Number of Players,Playtime,Age Range,Theme,Main Mechanism,Secondary Mechanism,Gameplay Complexity,Gameplay Mode,Game Category,PnP Crafting Challenge Level,One-Sentence Short Description,Long Description,Download Link,Secondary Download Link,Print Components,Other Components,Languages,Release Year,Game Image,Curated Lists,Report Dead Link
Void Halls,Gerasimos Kalogeratos,ParaMyth Games,Paid,$5,1,up to 20 minutes,8+,Fantasy,Flip & Write / Roll & Write,Dice Rolling,LIGHT-MEDIUM,Solo,Base Game,Quick Print (no crafting required),"Defend Your Dungeon from ""Heroes"".","Defend Your Dungeon from ""Heroes"". A Single Sheet, 3 Map Variations, Print-at-Home Board Game. As the master of the dungeon, you lure heroes to explore this den. The victims leave behind them what they carried. Now all values, brought from far away, belong to you. Organize your dungeon, and set treasures to lure heroes, traps, and warriors to encounter them. Riches will come to you and fame will rise in the dark halls of legends. The game plays over 30 rounds. Each round: Roll the dice 3 times and keep each time the matching numbers and combinations you desire.",https://www.paramythgames.com/product-page/void-halls-pnp,,,,English German French Spanish Italian,2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/YToe9eH8VKbWDIxCNEwR.jpg,,help@pnpfinder.com
Void Intentions,Gerasimos Kalogeratos,ParaMyth Games,Paid,$5,1,up to 20 minutes,8+,Dungeon Crawl,Flip & Write / Roll & Write,Dice Rolling,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),"Take on the role of a ""Hero""","Void Intentions is a dungeon-crawling, print-and-play, roll-and-write game. It's set in the same world as Void Halls, but the roles are reversed. Now, take on the role of a ""hero"", explore, and plunder this dungeon. The dice are rolled, fate is written, and riches await you. But be careful — death might find you, as these dungeons are full of dangers and traps. It's an unbalanced, solo game, that provides a different experience in every playthrough.",https://www.paramythgames.com/product-page/void-intentions-pnp,,,,"En, Ger, Fren, Span, Ital, Pol, Chin, Gr",2023,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/T4IpWQehpbxJctVl31cx.jpg,,help@pnpfinder.com
9 Card Siege,Chris Hansen,Web Published,Free,,1,up to 30 minutes,10+,War / Wargame,Dice Rolling,Point-to-Point Movement,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),A Solitaire Micro Wargame,"In this game, you must defend a medieval European fortress from a besieging army. You must defend against medieval siege engines such as ladders, a battering ram, siege tower, and trebuchets. You've also got to ensure there are adequate supplies to feed your army and keep their morale high. You must survive the siege for three days. At this point your army will arrive and drive away the invading forces.",https://boardgamegeek.com/boardgame/224596/9-card-siege/files,,"9 cards, rules, and player aid",9 cubes and 1 D6,English,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/7Ly2UCuV1sZppHIv9aQS.png,,help@pnpfinder.com
1 Car D: Stock Car Racing Game,Mateo Giaccone,Web Published,Free,,1,up to 30 minutes,10+,Racing,Dice Rolling,Grid Movement,LIGHT-MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),"Focus, go fast and win the race!  Don't stop to edit the description!","The game is like a kind of puzzle that is based on the relative speed of the cars: the fastest cars you go up, and the slowest you go down. And the upper and lower limits of the track help keep the cars from getting too far apart.",https://boardgamegeek.com/boardgame/372387/1-car-d-stock-car-racing-game/files,,1 card and rules,8 D6 and 8 cubes (8mm),English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/K93mfwr4B70Ykjkkpz4P.png,,help@pnpfinder.com
9-Bit Dungeon,Barny Skinner,Web Published,Free,,1,up to 60 minutes,,Fantasy,Dice Rolling,Grid Movement,MEDIUM,Solo,Base Game,Simple Cuts (a few cards or tiles),Survive the 4 levels of a dungeon formed by only 4 double-sided cards.,"A 9 Card Print and Play Roguelike Solo Game, with a randomly generated dungeon with over 1500 possible layouts, retro artwork, four increasingly difficult levels, random enemies and events, and shops full of upgrades.",https://boardgamegeek.com/boardgame/277427/9-bit-dungeon/files,,9 cards and rules,"1 pawn, 3 cubes, and 14 Dice (D6)",English,2019,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/p8nMTcz986qi1hVbi3Gw.png,,help@pnpfinder.com
Mint Works,Justin Blaske,Five24 Labs,Free,,1-4,up to 20 minutes,10+,Manufacturing,Worker Placement,Drafting,LIGHT-MEDIUM,Solo/Competitive,Base Game,Simple Cuts (a few cards or tiles),Build a mint manufacturing plant in this portable worker placement.,A light and straightforward worker placement game. Its simple rules make it easy to introduce new players to the genre of worker placement.,https://www.pnparcade.com/collections/free-games/products/mint-works,,Rules 10 Location Cards 21 Plan Cards 2 AI Cards 1 Player Aid,1 Starting Player Token 30 Mint Tokens,English,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/PoK863MWWqkKauGWhK4U.jpg,STAFF PICKS,help@pnpfinder.com
Mint Delivery,Justin Blaske,Five24 Labs,Free,,1-5,up to 30 minutes,12+,Manufacturing,Pick Up and Deliver,Point-to-Point Movement,LIGHT,Solo/Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",A teeny mint tin-sized fun of making mint deliveries across the town.,"Players take the role of a mint delivery truck driver, driving around the area taking orders for mints, then delivering them. Each player has two actions on their turn, such as moving, loading their truck, and upgrading the mints they are carrying.",https://www.pnparcade.com/products/mint-delivery?_pos=3&_sid=8f0338694&_ss=r,,Rules 40 Order Cards 9 Double Sided Map Cards 5 Truck Cards 5 Truck Tokens 15 Ability Tokens 13 Unique Abilities 6 Road Condition Tokens,38 Mint Tokens - 20 Classic (White) - 10 Sugar Free (Green) - 8 Cinnamon (Red),English,2017,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/JYYQ8TpeIF9PGmjJ5J48.png,,help@pnpfinder.com
Mint Cooperative,"Jonathan Gilmour-Long, Brian Lewis",Five24 Labs,Free,,1-4,up to 30 minutes,14+,Other,Cooperative Play,Dice Rolling,LIGHT-MEDIUM,Solo/Cooperative,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Defeat a villain with an optimal teamwork in this portable to coop games.,"The players, will be collectively trying to defeat the villain by making it through all of the Mayhem cards in the Trouble deck, utilizing each of their individual Superhero specialties and other randomized stunts, before triggering the end of the game.",https://www.pnparcade.com/products/mint-cooperative?_pos=4&_sid=8f0338694&_ss=r,,Rules 3 Villain Cards 1 Action Die Reference card 1 Regional Panic card 7 Town Cards 9 Stunt Cards 26 Trouble Cards 3 Mayhem Cards,35 White Mint Tokens 9 Red Mint Tokens 6 Hero Meeples 4 Dice (D6),English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/wbr5gHgNVhYOKw6IqV84.jpg,,help@pnpfinder.com
Mint Control,Justin Blaske,Five24 Labs,Free,,1-4,up to 30 minutes,12+,Other,Area Control / Area Majority / Territory Control,Drafting,LIGHT-MEDIUM,Solo/Competitive,Base Game,Quick Print (no crafting required),Assert your influence over Mintopia City to secure market share.,"Each player has five influence tokens that are placed onto buildings (that represent presence and potentially control). The first person to play all influence tokens ends the game. For each location, the player who has control of that location (determined by having more influence tokens than each other player), earns the victory points associated with that location (represented by stars in the top-right corner). During play, if a player has presence on a card, they can use the actions on the cards by paying their cost. These are effects like: kicking other players out of a location, taking more mints, and placing influence tokens.",https://www.pnparcade.com/products/mint-control?_pos=6&_sid=8f0338694&_ss=r,,"Rules, 12 Location cards, 5 Action tiles, 20 Influence tokens, 20 Mint tokens, 1 Starting Player token",,English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/Gzh7gE8V7bmpydoZ3BGh.png,,help@pnpfinder.com
Mindburners,Nathan Meunier,Web Published,Paid,$6.00,1-4,up to 60 minutes,12+,Other,Push Your Luck,Take That,MEDIUM,Solo/Competitive,Base Game,"Moderate Assembly (cards, boards, tiles, square tokens)",Push your luck and score VPs.,"As void runners, you and your opponents must arm yourselves with powerful abilities, push your luck to delve deeper into the void to gather vital energy resources, overcome treacheries and monstrous obstacles, and be the first to gain enough victory points to escape and seal the void forever.",https://www.pnparcade.com/products/mindburners?_pos=1&_sid=39c058bb5&_ss=r,,54 cards Rules,"1 six-sided dice 12 (8mm) tracking cubes (4 red, 4 yellow, 4 orange) 4 meeples in 4 different colors (red, yellow, orange, black)",English,2020,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/gjmNQElCodU6MqQSHKrH.png,,help@pnpfinder.com
Mindburners: Into the Void,Nathan Meunier,Self-Published,Paid,$4.00,1-2,up to 30 minutes,12+,Science Fiction,Hand Management,Drafting,LIGHT,Solo/Competitive,Base Game,Simple Cuts (a few cards or tiles),Cyber-occult clones arm up with experimental tech and run the void.,"In Mindburners: Into the Void, players are disposable test clones owned by Null Corporation, purveyors of the dark waste's finest void-tech. In the company's annual culling rites, a pair of clones are given the opportunity to earn their freedom by testing Null Corporation's most dangerous experimental technology.",https://www.pnparcade.com/products/mindburners-into-the-void?_pos=3&_sid=39c058bb5&_ss=r,,18 cards 1 Rules Sheet,,English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/P1LTh6zL1Pwm6XDwwGxs.jpg,,help@pnpfinder.com
Interplanetary: A giant hop for Squeakind,Elias Heydrich,Web Published,Free,,1,120+ minutes,12+,Science Fiction,Point-to-Point Movement,Storytelling,MEDIUM-HEAVY,Solo,,"Moderate Assembly (cards, boards, tiles, square tokens)",Help Squeakind expand beyond its home planet.,A game of heavy action-economy optimization. You are trying to fulfill your goal with the most optimal sequence of actions while trying to improve your overall situation to have a better chance to also tackle the next directive.,https://vidmaster.verschluesse.lt/,,16 pages of cards and boards for the base game 36-page Rulebook,31 small cubes (25 black & 6 blue) 4 Dice (D6) 2 small pawns of different color 1 Coin,English,2021,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/WDlD8c6d8VAOSVlDlalM.png,,help@pnpfinder.com
Forest Sky,Scott Allen Czysz,Buttonshy Games,Paid,$3,2+,up to 10 minutes,10+,Animals / Nature,Hand Management,Card Play,LIGHT,Competitive,Base Game,Simple Cuts (a few cards or tiles),18-card hand management game for 2-4 players,"Forest Sky is an 18-card hand management game where 2-4 players compete for the best 6-card scoring combination. Each card features a unique scoring rule, with players using both the 3 cards in their hand (“the sky”) and one of the shared card pools in play (“the “forest”) for final scoring. As players draw cards, they’ll fill the forests and shape the skies in their favor to win the game.",https://www.pnparcade.com/products/forest-sky,,18 cards,,English,2022,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/BJBeFGzS0jOgO9VzSQPX.png,,help@pnpfinder.com
Rome: Fate of an Empire,Joe Klipfel,Best With 1 Games,Paid,$5,1,up to 90 minutes,14+,Historical,Deck Building,Card Play,MEDIUM-HEAVY,Solo,Base Game,"Advanced Crafting (many cards, folding boards, tiles, circle tokens)",Lead Rome to glory—or obscurity—as you develop and operate your empire!,"Lead Rome to glory--or obscurity--as you develop and operate your rapidly expanding ancient civilization. Pick a leader, choose your strategy, and decide the fate of an empire! Develop and refine your engine with deckbuilding, tableau building, and resource management to fulfill your edicts and bring the most possible glory to Rome. The engine-building of Res Arcana meets the card play of Mage Knight in this thinky middle-weight Euro game. —description from the publisher",https://bestwith1.com/product/rome-fate-of-an-empire-print-n-play/,,Many cards,,English,2024,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/Ji677LVwrgF6rmMlGpTL/pub/bNkhKAJTTmldRg270CnE.png,2024 BGG GOLDEN GEEK BEST PNP NOMINEES,help@pnpfinder.com
